"ID","SalePrice"
1461,127440.0044
1462,152672.585633333
1463,180387.8498
1464,183096.416166667
1465,192673.86265
1466,182673.447166667
1467,171017.669533333
1468,173889.650866667
1469,177825.812483333
1470,122945.638266667
1471,203540.677666667
1472,92241.8207
1473,99754.5258666666
1474,153529.965083333
1475,123453.9935
1476,371039.095816667
1477,246900.336616666
1478,301991.658416666
1479,275876.252883333
1480,455792.18695
1481,296470.4634
1482,206477.1038
1483,183415.12765
1484,169381.331066667
1485,171823.515583333
1486,202309.4758
1487,328195.39785
1488,237365.932766666
1489,206830.624333333
1490,215356.223383333
1491,188703.658316667
1492,100143.62995
1493,178504.345692857
1494,290898.003933333
1495,296458.04885
1496,231037.062916667
1497,182175.794833333
1498,151845.543966667
1499,152025.612066667
1500,160374.668590476
1501,172525.4177
1502,152012.566735714
1503,289792.746883333
1504,229392.886733333
1505,214470.335383333
1506,177065.257483333
1507,239160.23355
1508,193152.69255
1509,161396.712983333
1510,151160.90755
1511,153553.947766667
1512,172973.449266667
1513,140718.620066667
1514,161150.115933333
1515,207635.965533333
1516,161903.48555
1517,153623.01025
1518,131430.916866667
1519,226984.35255
1520,138042.0575
1521,145108.555416667
1522,161886.15005
1523,115777.274616667
1524,122386.226516667
1525,128611.662966667
1526,129489.987683333
1527,105662.660516667
1528,126648.128016667
1529,141560.094666667
1530,164662.940083333
1531,135423.556433333
1532,107805.608333333
1533,138462.638416667
1534,120545.380416667
1535,160384.2337
1536,120541.579716667
1537,96297.9070166666
1538,173098.465769048
1539,237401.4788
1540,126352.5495
1541,147366.317816667
1542,141883.676116667
1543,199331.44035
1544,89705.7204833334
1545,102469.730066667
1546,125041.392433333
1547,136954.259883333
1548,130074.147866667
1549,115991.145516667
1550,141958.8276
1551,121632.025333333
1552,147210.52895
1553,146188.250916667
1554,106846.948816667
1555,170047.532333333
1556,96232.0210333333
1557,126112.077333333
1558,94411.7518333333
1559,113865.662183333
1560,151491.857166667
1561,157376.522233333
1562,125338.10495
1563,121589.219216667
1564,163487.4524
1565,154951.853016667
1566,226113.542866667
1567,82776.4912809524
1568,215827.288883333
1569,151634.0049
1570,136910.671466667
1571,134041.736066667
1572,143611.048583333
1573,249309.6647
1574,122633.3793
1575,217662.72595
1576,232449.1889
1577,206329.314216667
1578,145130.706733333
1579,144424.081316667
1580,187995.149283333
1581,141167.3721
1582,126000.33625
1583,334612.1654
1584,240225.279533333
1585,139670.934899134
1586,79839.3039
1587,104343.909483333
1588,149999.3086
1589,104941.163016667
1590,129489.608216667
1591,105143.52445
1592,132341.669183333
1593,116374.634933333
1594,141748.686383333
1595,130522.0311
1596,226389.6746
1597,165865.76855
1598,190034.086433333
1599,195112.631309524
1600,183853.457283333
1601,69628.9961166667
1602,109787.312583333
1603,98741.4141000001
1604,280065.325733333
1605,255306.304916667
1606,168679.361783333
1607,171104.77055
1608,215593.2403
1609,202182.877483333
1610,164665.228338889
1611,151177.416083333
1612,179676.389316667
1613,170413.7092
1614,125180.467166667
1615,86791.1659166667
1616,79582.3547166667
1617,89972.1836166667
1618,126834.63585
1619,135048.087366667
1620,166249.236033333
1621,143197.244983333
1622,145793.209433333
1623,289953.770983333
1624,217205.173766667
1625,128092.896233333
1626,171907.684683333
1627,185863.507333333
1628,280199.449383333
1629,174908.0688
1630,347809.225016667
1631,208829.375383333
1632,244639.173664286
1633,168615.689316667
1634,183713.934026191
1635,179134.126483333
1636,164666.797683333
1637,174502.520766667
1638,205743.483716667
1639,178390.5505
1640,246818.582483333
1641,181292.983166667
1642,225459.794533333
1643,230437.74815
1644,226073.302833333
1645,189486.642033333
1646,157245.4674
1647,160400.32035
1648,140910.557433333
1649,137849.511433333
1650,120905.129733333
1651,122554.015666667
1652,93089.4501666667
1653,98249.4755666666
1654,156496.130209524
1655,148368.311178571
1656,148825.386821429
1657,155245.23772619
1658,158176.011959524
1659,132592.742266667
1660,152075.871335714
1661,449529.2494
1662,377583.865083333
1663,378956.66275
1664,456114.131266667
1665,317648.815166667
1666,343535.503
1667,363062.626033334
1668,329787.842383333
1669,300379.066
1670,344742.492066667
1671,259076.183316667
1672,471220.638183334
1673,298068.267
1674,244391.854683333
1675,195703.871566667
1676,193188.7851
1677,219844.014552381
1678,456385.070483334
1679,389297.2241
1680,322886.3953
1681,261573.166423809
1682,305793.751583333
1683,183494.750583333
1684,171469.723938889
1685,173921.211455556
1686,171058.243533333
1687,166512.23385
1688,185298.1493
1689,187703.893983333
1690,184169.423733333
1691,174576.574216667
1692,271821.914883333
1693,168840.416433333
1694,182268.34795
1695,171472.282433333
1696,281970.94985
1697,169748.41545
1698,344263.66615
1699,326368.192833333
1700,235608.8424
1701,256395.988866667
1702,256197.5366
1703,251199.447383333
1704,294561.984433333
1705,230481.855133333
1706,462114.24475
1707,222635.873933333
1708,218895.640666667
1709,269679.61965
1710,223459.520142857
1711,267726.65295
1712,251619.442
1713,273438.81315
1714,215795.258416667
1715,201481.486716667
1716,181426.995466667
1717,165349.809983333
1718,130404.250466667
1719,204352.29
1720,248419.970016667
1721,164854.51555
1722,123056.951383333
1723,159770.987933333
1724,217965.53155
1725,234627.58725
1726,192438.561116667
1727,178539.93055
1728,185317.7734
1729,163211.853766667
1730,165572.1852
1731,122834.500083333
